#	Fracture
2HPP	2 Hour PostPrandial
ACH	Arkansas Children's Hospital
ACH	Australian Camp Hospital
ACHA	Accrediation Complaince of Hospitals in America
ACHC	Annapolis Community Health Centre
ACHC	Aurora Community Health Center
ACHC	Ashland Community Health Center
ACHC	Aids Care Hampshire County
ACHC	Ajo Community Health Center
ACHC	Alberta Catholic Health Corporation
ACHM	Advanced Care Hospital of Montana
ACHMS	Area Committeefor Hospital Medical Services
ACHP	Alliance Of Community Health Plans
ACHS	Ammonoosuc Community Health Services
ACHS	American Camp and Hospital Service
ACIC	Assessment of Chronic Illness Care
ACIP	Arthritis Clinical Intervention Program
ACIP	Advisory Committee on Immunization Practices
ACIS	Automated Cellular Imaging System
ACIS	Assessment of Communication and Interaction Skills
ACL	A Changed Life
ACLS	Advanced Cardiovascular Life Support
ACMC	Atlantic City Medical Center
ACMC	Alameda County Medical Center
ACMH	Armstrong County Memorial Hospital
ACMS	Allegheny County Medical Society
ACMS	Alachua County Medical Society
ACMS	Alternative Care Management System
ACN	Associated and Comprehensive Neurotherapy
ACO	Accountable Care Organization
ACOG	American College of Obstetricians and Gynecologists
ACOHA	American College of Osteopathic Hospital Administrators
ACOP	Approved Codes Of Practice
ACoRN	Acute Care of at Risk Newborn
ACP	Anesthesia Care Provider
ACPE	Accreditation Council for Pharmacy Education
ACR	American College of Radiology
ACRB	American Chiropractic Rehabilitation Board
ACRH	Acupuncture Center for Reproductive Health
ACRM	Advanced Center for Rehabilitation Medicine
ACRM	Anaesthesia Crisis Resource Management
ACS	Auto Call System
ACS	Acute Coronary Syndrome
ACSC	Ambulatory Care Sensitive Conditions
ACT	Appointment Change and Termination
ACT	Abuse Counseling and Treatment
ACTFAST	Agent Characteristics, Toxicology, First Aid, and Special Treatment
ACTS	Acute Care and Traffic Safety
ACTT	Assertive Community Treatment Team
ACU	Ambulatory Care Unit
ACUV	Air Contrast Ultrasonographic Venography
ACWH	Aspen Center for Women's Health, Inc.
AD	Admission and Discharge
AD	As Directed
AD	Amoebic Dysentery
AD	Alzheimer's Disease
ADACS	Antenatal Diagnosis And Counselling Service
ADAP	Alcohol and Drug Abuse Program
ADAP	AIDS Drug Assistance Program
ADAPT	Adaptive Developmentally-Appropriate Practice Theory
ADAPT	Antitrypsin Deficiency Assessment and Programme for Treatment
ADATP	Alcohol and Drug Abuse Treatment Program
ADC	Ambulance Dispatch Center
ADDM	Autism and Developmental Disabilities Monitoring
ADDTC	Alzheimers Disease Diagnostic and Treatment Center
ADEM	Acute disseminated encephalomyelitis
ADFH	Abu Dhabi Falcon Hospital
ADH	Adult Day Hospital
ADI	Autism Diagnostic Interview
ADIC	Alcohol & Drug Information Centre - India
ADIN	Australian Drug Information Network
ADIQ	Available Daily Injection Quantity
ADIS	Alcohol and Drug Information Service
ADIS	Anxiety Disorders Interview Schedule
ADIS-IV	Anxiety Disorders Interview Schedule - Version 4
ADL	Aids for Daily Living
ADL	Activities of Daily Living
ADLS	Advanced Disaster Life Support
ADMC	Advance Determination of Medicare Coverage
ADMC	Angleton Danbury Medical Center
ADN	Associate Degree in Nursing
ADNI	Alzheimer Disease Neuroimaging
ADON	Assistant Director Of Nursing
ADOS	Autism Diagnostic Observation Schedule
ADP	Adhesive Daily Patch
ADPL	Average Daily Patient Load
ADS	Advanced Dressing Station
ADS	Alcohol and Drug Services
ADSS	Alcohol and Drug Services Study
ADT	Admission, Discharge and Transfer
ADT	Admission, Discharge, Transfer
ADT	Admission/Discharge Transfer
ADTP	Alcohol and Drug Treatment Program
ADTP	Addiction Day Treatment Program
AE	Aeromedical Evacuation
AE	Antitoxin unit (Einheit)
AEB	As Evidenced By ....
AEC	Ambulatory emergency care
AECU	Ambulatory Emergency Care Unit
AED	Automatic External Defibrillator
AED	Anti-Epileptic Drug
AED	Automated External Defibrillation
AEGIS	Aids Education Global Information System
AEH	Aravind Eye Hospital
AEH	Animal Emergency Hospital
AEI	Accident and External Injury
AEMA	Alien Emergency Medical Assistance
AEP	Alternative Education Program
AEP	Adverse Events Profile
AER	Adverse Event Report
AERD	Aspirin-exacerbated respiratory disease
AERS	Adverse Event Reporting System
AES	Ambulance Emergency Service
AES	Adult Emergency Services
AES	Antral Ethmoidal Sphenoidectomy
AES	Atomic Emission Spectrometry
AESR	Amphetamine Enhanced Stroke Recovery
AET	Allergy Elimination Treatment
AETC	AIDS Education and Training Center
AF	Atrial Fibrillation
AF	Amniotic Fluid
AFCC	Advanced Fetal Care Center
AFD	Automatic Fall Detection
AFHA	African Federation of Hospital Associations
AFHE	Association of Finnish Hospital Engineering
AFHI	Funcionarios Hospital Italiano
AFI	Amniotic Fluid Index
AFIB	Atrial Fibrillation
AFIC	Armed Forces Institute Of Cardiology
AFM	Atomic Force Microscope
AFTEC	Anaesthetic Flow and TEChnologies
AGCH	Arroyo Grande Community Hospital
AGE	Active Gerontology Education
AGES	Ambulatory Geriatric Evaluation Service
AGH	Adventist GlenOaks Hospital
AGH	Allegan General Hospital's
AGH	Allegan General Hospital
AGH	Alpena General Hospital
AGH	Allegheny General Hospital
AGH	Atlantic General Hospital
AGP	Aerosol Generating Procedures
AGS	Aicardi–Goutieres syndrome
AGSS	Anesthesia Gas Scavenging System
AH	Asthma Health
AH	Addison Hospital
AHAA	Arkansas Hospital Auxiliary Association
AHAH	Acute Hospital At Home
AHAPO	American Heart Association Practice Guidelines
AHC	Army Hospital Corps
AHC(S)	Academic Health Center(S)
AHCC	Angela Hospice Care Center
AHCC	Abbotsford Hospital And Cancer Centre
AHCD	Advance Health Care Directive
AHCP	After Hours Care Provider
AHCP	Allied Health Care Professionals
AHCP	After Hospital Care Plan
AHD	American Hospital Directory
AHDO	Arab Hospitality and Development Organization
AHEC	Area Health Education Center
AHEL	Apollo Hospital Enterprises Ltd
AHEL	Apollo Hospitals Enterprise Limited
AHEL	Apollo Hospitals Enterprises Ltd
AHFS	American Hospital Formulary Service
AHFS	American Hospital Formulary Service®
AHH	Arizona Heart Hospital
AHHA	Arizona Hospital and Healthcare Association (also seen as AzHHA)
AHHC	Alternative Home Health Care
AHHH	Atlanta Hospital Hospitality House
AHIC	At Home Infant Care
AHIMA	American Health Information Management Association
AHM	American Hospitality Management
AHMF	Academic Hospital Medicine Fellowship
AHMS	Animal Hospital Management System
AHOC	Animal Hospital of Clemmons
AHP	Ashford Hospitality Prime
AHRA	American Hospital Radiology Administration
AHRQ	Agency for Healthcare Research and Quality
AHS	Alberta Health Services
AHSA	Assistant Health Services Administrator
AHT	Ashford Hospitality Trust
AICC	Advanced Illness Coordinated Care
AICD	Automatische Implantierbare Cardioverter Defibrillatoren
AICD	Automatic Implantable Cardiac Defibrillator
AID	Anti-Inflammatory Drug
AIDS	Acquired Immune Deficiency Syndrome
AIHA	Auto-Immune Hemolytic Anemia
AIM	ADHD (Attention Deficit Hyperactivity Disorder) Impact Module
AIM	Ambulatory Infusion Manager
AIM	Addressing Inhalants and Methamphetamine
AIM-C	ADHD (Attention Deficit Hyperactivity Disorder) Impact Module - Child
AIMS	Abnormal Involuntary Movements Scale
AIMS	Anaesthesia Incident Monitoring Study
AIMS	Arthritis Impact Measurement Scale
AIMS	Australian Incident Monitoring System
AIP	Auto-Immune Profile
AIP	AIDS Information Project
AIP	Alcohol Improvement Programme
AIPET	Act Implementing the Principle of Equal Treatment
AIPS	Advanced Institute for Plastic Surgery, Inc.
AIR	Anterior Interval Release
AIS	Abbreviated Injury Scale
AIS	Abbreviated Injury Severity
AJH	Anna Jaques Hospital
AJHA	All Japan Hospital Association
AK	Artificial Kidney
AKUH	Agha Khan University Hospital
AKUH	Aga Khan University Hospitals
AKUH	Aga Khan University Hospital
AL	ALlergy
AL	Artemether-lumefantrin
ALC	Alternative Level of Care
ALI	Acute Lung Injury
ALIF	Axial Lumbar Interbody Fusion
ALIF	Anterior Lumbar Interbody Fusion
ALOC	Alternate Level Of Care
ALOC	Acute Loss Of Consciousness
ALOC	Altered Level Of Consciousness
ALOS	Average Length of Stay
ALPC	Argon Laser Photocoagulation
ALPS	Autoimmune LymphoProliferative Syndrome
ALS	Advanced Life Support
ALS	Artificial Liver Support
ALS	Amyotrophic lateral sclerosis
ALT	Argon Laser Trabeculoplasty
ALT DIEB	Alternate Days
ALTE	Acute Life Threatening Event
ALTHA	Acute Long Term Hospital Association
ALU	Associative Location Unit
ALVH	American Lake Veterans Hospital
AM	Amiralam
AMA	Another Medial Anomaly
AMA	Against Medical Advice
AMAP	American Medical Accreditation Program
AMB	As Manifested By ....
AMB	Ambulance
AMBU bag	Bag-valve-mask resusicitator used in an Ambulance
AMBULANCE	Australia Medical Bureau Under Law And National Corresponding Emergencies
AMC(S)	Academic Medical Center(S)
AMCS	Ambulatory Medical Care Survey
AME	Agreed Medical Evaluation
AMEDD	Army MEDical Department
AMELI	Assurrance Maladie En LIgne
AMH	Abington Memorial Hospital
AMHL	Acworth Municipal Hospital for Leprosy
AMNCH	Adelaide, Meath and National Children’s Hospital (Dublin)
AMO	Assistant Medical Officer
AMP	Advanced Medical Post
Amphetamine	Alpha-Methyl-PHEneThylAMINE
AMPLE	Allergies, Medications, Past medical history, Last meal, Events leading up to
AMR	Antimicrobial resistance
AMS	Altered Mental Status
AMS	Antimicrobial stewardship
AMSS	Anticoagulant Management Support System
AMT	Assign Medical Transport
AMTA	American Medical Treatment Association
AMTO	Authorized Medical Time Off
AMU	Acute Medical Unit
AN	Associate of Nursing
ANA	Anti-Nuclear Antibody
ANA	Almost Never Awake
ANCA	Anti-Neutrophil Cytoplasmic Antibody
ANCB	American Naturopathic Certification Board
ANCB	Addictions Nuring Certification Board
ANCC	American Nurses Credentialing Center
AND	Allow Natural Death
ANMC	Alaska Native Medical Center
ANRP	Arkansas Nursing Reinvestment Program
AO	Access Orlando
AOA	Alive On Arrival
AOA	Ataxia with oculomotor apraxia
AOB	Assignment Of Benefits
AOBT	Any Old Bloody Thing
AOD	Alcohol and Other Drug problems
AODD	Alcoholism and Other Drug Dependencies
AODM	Adult-onset diabetes mellitus
AOH	Arnot Ogden Hospital
AOIC	Alaska Open Imaging Center
AOPC	Assessment Of Professional Competence
AOS	Apraxia of speech
AOT	Assisted Outpatient Treatment
APA	Aldosterone-producing adenoma
APACHE	Acute Physiology, Age, and Chronic Health Evaluation
APAP	Association of Physician Assistant Programs
APBC	Ambulance Paramedics of British Columbia
APC	Argon Plasma Coagulation
APC	Ambulatory Payment Classification
APG	Ambulatory Patient Group
APGAR	Activity, Pulse, Grimace, Appearance, and Respiration
APH	Arnold Palmer Hospital
APH	Acute Psychiatric Hospital
APHA	Alberta Public Health Association
APHP	Adolescent Partial Hospitalization Program
APHP	Associação Portuguesa de Hospitalização Privada
API	Active Pharmaceutical Ingredient
APLS	Advanced Pediatric Life Support
APMS	Alternative Provider Medical Services
APMS	Acute Pain Management Service
APOS	A Positive blood type
APPN	Advanced Practice Psychiatric Nurse
APPS	African Partnerships for Patient Safety
APPY	APPendectomY
APS	Automated Patient System
APS	Antiphospholipid syndrome
APSH	Ampang Puteri Specialist Hospital
APSU	Australian Paediatric Surveillance Unit
APTX	Aprataxin
ARAM	Abdur Razzaque Ansari Memorial
ARC	Accessible, Responsive, and Caring
ARC	Accreditation Review Committee
ARC	Annual Rate of Change
ARCH	Area Rescue Consortium of Hospitals
ARD	Addiction Recovery of the Deaf
ARD	Assessment Reference Date
ARD	Adult Refsum disease
ARF	Addiction Research Foundation
ARF	Acute rheumatic fever
ARH	Appalachian Regional Healthcare
ARI	Aberdeen Royal Infirmary
ARI	Acute Respiratory Infection
ARI	Aberdeen (Scotland) Royal Infirmary
ARISG	Adverse Reaction Information System Global
ARMD	Age Related Macular Degeneration
ARNP	Advanced Registered Nurse Practitioner
AROM	Artificial Rupture Of Membranes
ARPOB	Average Revenue per Occupied bed
ART	Assisted Reproductive Technology
ART	Anti-Retroviral Therapy
ART	Androgen Replacement Therapy
ART	Active Release Technique
ARTH	Academy for Reiki Training and Healing
AS	Anabolic Steroid
AS	Absence of Seizures
AS	Active Surveillance
AS	Adult Services
AS	Ambulatory Surgery
AS	Associate Specialist
ASA	American Society of Anesthesiologists
ASC	Ambulatory Surgical Center
ASC(s)	Ambulatory surgery center(s)
ASCT	Autologous Stem Cell Transplant
ASCVD	Atherosclerotic cardiovascular disease
ASD	Atrial septal defect
ASDH	Alexandria Specialist Day Hospital
ASDs	Autism spectrum disorders
ASH	American Society of Hematology
ASH	Alberta School Hospital
ASHA	American Schools and Hospitals Abroad
ASHC	Arthritis Self Help Course
ASHD	Artesia Special Hospital District
ASHS	American Shared Hospital Services
ASIH	Absent Sick In Hospital
ASK	Assault Survivor Kit
ASMC	Area Support Medical Company
ASP	Awareness during Sleep Paralysis
ASP	Atamai Surgical Planning
ASP(S)	Antibiotic Stewardship Program(s)
ASPH	Ashford and St Peters Hospital
ASPN	AIDS Service Provider Network
ASPN	Ambulatory Sentinel Practice Network
ASR	Ambulatory Services Representative
ASRH	Acute Stroke Ready Hospital
ASRH	Acute Stroke Ready Hospitals
ASS	African sleeping sickness
ASTDA	American Sexually Transmitted Diseases Association
ASV	Activity Support Vehicle
ASV	Adaptive Servo-Ventilator
ASWP	Attendant Services Waiver Program
AT	Active Treatment
ATACC	Anaesthesia, Trauma, And Critical Care
ATC	Anatomical Therapeutic Chemical
ATE	Acute Toxicity Estimate
ATG	Alternative Therapies Group
ATH	Absolute Threshold of Hearing
ATHP	Association of Teaching Hospital Pharmacists
ATLS	Advanced Trauma Life Support
ATR	Alaska Trauma Registry
ATSDR	Agency for Toxic Substances and Disease Registry
ATSM	Acute Traumatic Stress Management
ATU	Autorisation Temporaire d'Utilisation
ATU	Antenatal Testing Unit
AUB	Abnormal Uterine Bleeding
AUBT	Advanced Ultra-sonic Backscatter Technique
AUH	American University Hospital
AUH	Aarhus University Hospital
AUP	Acceptable Use Procedure
AV	Anti-Vomit
AV	Anti Viral
AVE	Audio Visual Entrainment
AVG	Ambulatory Visit Group
AVG	Arterio-Venous Graft
AVG	ArterioVenous Graft
AVH	Aspen Valley Hospital
AVH	Androscoggin Valley Hospital
AVH	Augusta Victoria Hospital
AVHO	Animal Veterinary Hospital Of Orlando
AVIC	Acute Vascular Imaging Centre
AVMs	Arteriovenous malformations
AVN	Avascular necrosis
AVNRT	AtrioVentricular Nodal Re-entrant Tachycardia
AVP	Arginine VasoPressin
AVPU	Alert, Verbal, Pain, Unresponsive
AVR	Aortic Valve Replacement
AWCH	Adelaide Women and Children's Hospital
AWCH	Adelaide Women's And Children's Hospital
AWCH	Association for the Welfare of Children in Hospital
AWHS	American Women's Hospitals Service
AWMH	Andover War Memorial Hospital
AWP	Any Willing Provider
AXR	Abdominal X-Ray
B-WPHC	Baltimore- Washington Public Health Consortium
BA	Brush Aid
BA	Bronchial Asthma
BAACH	Brian Allgood Army Community Hospital
BAC	Blood Anti-Clot
BAC	Bereavement Advisory Council
BACH	Blanchfield Army Community Hospital
BAE	Bronchial Artery Embolization
BAER	Burn Area Emergency Rehabilitation
BAL	BronchoAlveolar Lavage
BAMC	Brooke Army Medical Center
BARC	Build A Rescue Clinic
BARH	Beckley Appalachian Regional Hospital
BAS	Battalion Aid Station
BASC	Bedford Ambulatory Surgical Center
BAV	Bed Available
BB	Bed Board
BB	Baby Boy
BBH	Bangalore Baptist Hospital
BBH	Banso Baptist Hospital
BBI	Blood-Bourne Infections
BBI	Blood-Bourne Infection
BBQ	Blood Bank Quality
BBQA	Blood Bank Quality Assurance
BBS	Bashful bladder syndrome
BBV	Blood Borne Virus
BBW	Birth Body Weight
BC	Board Certified
BCCV	Black Creek Canal virus
BCD	Board Certified Diplomate in Clinical Social Work
BCDT	Barren County Day Treatment
BCG	Bacillus Calmette-Guerin
BCG	Ballistocardiogram
BCH	Boulder Community Hospital
BCH	Boston City Hospital
BCH	Birmingham Children's Hospital
BCH	Boston Children's Hospital
BCHIS	British Columbia Hospital Insurance Service
BCIH	Bernalillo County Indian Hospital
BCIH	BEIT CURE International Hospital
BCIR	Barnett Continent Intestinal Reservoir
BCLS	Basic Cardiac Life Support
BCM	Baylor College of Medicine
BCMCH	Believers Church Medical College Hospital
BCPS	Board Certified Pharmacotherapy Specialist
BCS	Biopharmaceutical Classification System
BCT	Best Commonly-used Therapy
BCT	Behavioral Cognitive Therapy
BCU	Basic Care Unit
BCVA	Best-corrected visual acuity
BDH	Blyth District Hospital
BDH	Brown Dental Hospital
BDHI	Buss-Durkee Hostility Inventory
BE	Both Eyes
BE  PRN	Both Eyes Pro Re Nata (in Latin) when necessary
BEAR	Bring Everything Always Ready
BEH	Behaviorally/emotionally handicapped
BEME	Best Evidence Medical Education
BERM	Bioterrorism Epidemic Outbreak Response Model
BERTHA	Bringing Employees Resources and Technology to Hospital Audits
BEST	Bulimic Education and Support Training
BF	Bone Fracture
BFAH	Best Friends Animal Hospital
BFH	Baby Friendly Hospital
BFHI	Baby Friendly Hospital Initiative
BG	Blood Glucose
BGAH	Bedford Greenwich Animal Hospital
BGH	Buchanan General Hospital
BGH	Buffalo General Hospital
BGH	Bangkok General Hospital
BH	Behaviorally handicapped
BHA	Bluegrass Hospitality Association
BHA	Bachelor in Hospital Administration
BHAH	Bellamy Harrison Animal Hospital
BHAH	Beverly Hills Animal Hospital
BHAH	Black Horse Animal Hospital
BHAP	Bayer Hemophilia Awards Program
BHB	Bermuda Hospitals Board
BHBN	Birmingham Hospital Broadcasting Network
BHC	Bart’s Heart Centre
BHCC	Botsford Health Care Continuum
BHCS	Baylor Health Care System
BHF	Beaumont Hospital Foundation
BHG	Bluegrass Hospitality Group
BHI	Brain Heart Infusion
BHM	Bachelor of Hospital Management
BHMB	British Hospital for Mothers and Babies
BHMRC	Bharat Hospital and Medical Research Centre
BHMRC	Batra Hospital and Medical Research Centre
BHN	Bristol Hospitality Network
BHNAP	Bridgeport Hospital Nurse Anesthesia Program (Bridgeport, CT)
BHO	Behavioral Health Organization
BHPA	Belgian Hospital Physicists Association
BHR	Birmingham Hip Resurfacing surgery
BHR	Bilateral Hip Replacement
BHRUT	Barking, Havering and Redbridge University Hospital’s NHS Trust
BHSA	Battlefords Health Service Area
BHSF	Birmingham Hospital Saturday Fund
BHT	Businessmen Hospital Trust
BHU	Bed Head Unit
BHW	Brigham &#38; Women’s Hospital
BI	Behavioral Intervention
BI	Battlefield Injury
BI	Bone Index
BI	Burns Institute
BIAC	Brain Imaging and Analysis Center
BIBA	Brought In By Ambulance
BICU	Burn Intensive Care Unit
BID	Bis In Die (Twice Daily)
BID	Beth Israel - Deaconess
BID	Background Information Document
BIDH	Beth Israel Deaconess Hospital
BIH	Beth Israel Hospital
BIRF	Biomedical Imaging Resource Facility
BISS	Blood Injection Symptom Scale
BIW	Before I Wake
BJAH	Bayne Jones Army Community Hospital
BJH	Barnes Jewish Hospital
BKA	Below the Knee Amputation
BKAH	Bissonnet Kirby Animal Hospital
BLAST	Basic Local Alignment Search Tool
BLCH	Bowring and Lady Curzon Hospital
BLIP	Breathing Level Indicates Permission
BLL	Blood Lead Level
BLT	Bacon, Lettuce, Tomato
BLUE	Bedside Lung Ultrasound in Emergency
BMA	Bone Marrow Aspiration
BMC	Burlington Medical Center
BMC	Boston Medical Center
BMC	Branch Medical Clinic
BMC	Bicol Medical Center
BMD	Becker's muscular dystrophy
BMH	Beaufort Memorial Hospital
BMH	Brattleboro Memorial Hospital
BMH	Boone Memorial Hospital
BMH	Blount Memorial Hospital
BMH	Bingham Memorial Hospital
BMH	Beauregard Memorial Hospital
BMH	BABY Memorial Hospital
BMH	Baptist Memorial Hospital
BMH	British Military Hospital
BMH	Butler Memorial Hospital
BMI	Birmingham Medical Institute
BMSH	Braithwaite Memorial Specialist Hospital
BMT	Bismuth, Metronidazole, Tetracycline regimen
BMT	Bone Marrow Transplant
BNCH	Baroda Neuro Surgical Hospital & Chintu Children Hospital
BNH	Bangkok Nursing Home
BNH	Bush Nursing Hospital
BNHH	Basingstoke and North Hampshire Hospital
BNI	Bladder Neck Incision
BNMH	Brahmananda Narayana Multispeciality Hospital
BNMH	Brahamananda Narayana Multispeciality Hospital
BNMH	Brahmananda Narayana Multispecialty Hospital
BO	Bowel Open
BOD	Biochemical Oxygen Demand
BOH	Bay Osteopathic Hospital
BOH	Bad Obstetric History
BOH	Bachelor of Oral Health
BON	Board Of Nursing
BP	British Pharmacopea
BP	Before Penicillin
BPAC	Blood Products Advisory Committee
BPAH	Breckinridge Park Animal Hospital
BPAH	Burnham Park Animal Hospital
BPAH	Burnsville Parkway Animal Hospital
BPAN	Beta-propeller protein-associated neurodegeneration
BPAP	Bilevel Positive Airway Pressure
BPBA	Bruce Peninsula Biosphere Association
BPD	Bi-Parietal Diameter
BPD	Billio-Pancreatic Diversion
BPD	Bi-Polar Disorder
BPD	Borderline personality disorder
BPDCN	Blastic plasmacytoid dendritic cell neoplasm
BPH	Boston Psychopathic Hospital
BPH	British PHarmacopoeia
BPH	Benign prostatic hyperplasia
BPHS	Basic Package of Health Services
BPP	Bio-Physical Profile
BPPH	Busamed Paardevlei Private Hospital
BPPS	BioMarin Patient Physician Support
BPPV	Benign paroxysmal positional vertigo
BPR	Business Process Reengineering
bprc	Balaji Physiotherapy & Rehabilitation Clinic
BQA	Biometric Quality Assessment
BQAM	Biometric Quality Assessment Method
BRAP	Birmingham Race Action Partnership
BRAT	Bananas, Rice, Applesauce, and Toast
BRCH	Boca Raton Community Hospital
BRDH	Bellinger River District Hospital
BRFSS	Behavioral Risk Factor Surveillance System
BRHC	Bristol Royal Hospital for Children
BRMC	Bay Regional Medical Center
BRN	Birth Resource Network
BRT	Block Replacement Therapy
BS+	Positive Bowel Sounds
BSC	Beside Commode
BSE	Bovine spongiform encephalopathy
BSH	Bahrain Specialist Hospital
BSN	Both Sides Now
BSO	Bilateral Salpingo Oopherectomy
BSS	Balanced Salt Solution
BSS	Brown–Sequard syndrome
BT	Bacillus Thuringiensis
BTGH	Ben Taub General Hospital
BTNW	Brain Tumour North West
BTP	BreakThrough Pain
BTS	Blood Transfusion Service
BTSC	Biomedical Technical Support Centre
BTTC	Behavior Treatment and Training Center
BTTF	Breast Treatment Task Force
BTUH	Basildon and Thurrock University Hospitals
BUDC	Boston University Dental Health Center
BUH	Battlfords Union Hospital
BUI	Bristol Urological Institute
BUMC	Boston University Medical Center
BUPA	British United Provident Association
BUT	Break-Up Time
BV	Bacterial vaginosis
BVH	Blanchard Valley Hospital
BVT	Bee Venom Therapy
BVT	Bilateral Ventilation Tubes
BWH	Brigham and Women's Hospital
BWH	The Brigham and Womens Hospital
BWH	Brigham Women's Hospital
BWIA	Better Walk If Able
Bx	Behavior
BXH	Beijing Xuanwu Hospital
BZA	Bazedoxifene acetate
BZD	BenZoDiazepine
C	Clinical
C	Certified
C-EHR	Certified Electronic Health Record
C. DIFF.	Clostridium difficile
C. S. N.	Central Supply Nurse
c/o	Complaining Of
C/S	Caesarean Section
C/S	Cervical Spondylosis
CA	Cancer
CAAC	Coronary Artery Anomalies Center
CAAS	Continence Aids Assistance Scheme
CABG	Coronary Artery Bypass Graft
CAC	Cervical Access Catheter
CACS	Coronary Artery Calcium Score
CAD	Coronary Artery Disease
CADASIL	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy
CAF	Common assessment framework
CAFE	Contraception And Facility Economics
CAGE	Cutting down, Annoyed, Guily, Eye opener
CAH	Critical Access Hospital
CAH	Critical Access Hospitals
CAH	Congenital adrenal hyperplasia
CAHO	Council of Academic Hospitals of Ontario
CALM	Center For Alternative Living Medicine
CALM	Conscious Active Living Mind
CALP	Carbohydrate Addicts Lifespan Program
CALS	Comprehensive Advanced Life Support
CAM	Complementary Alternative Medicine
CAM	Conventional Allopathic Medicine
CAMA	Chronic and Acute Medical Assistance
CAMC	Charleston Area Medical Center
CAMH	Centre for Addiction and Mental Health
CAMH	Comprehensive Accreditation Manual for Hospitals
CAP	Community Acquired Pneumonia
CAP	Continuous Assessment Programme
CAPA	Canadian Association of Physician Assistants
CAPD	Chronic Ambulatory Peritoneal Dialysis
CAPD	Continuous Ambulatory Peritoneal Dialysis
CAPD	Central auditory processing disorder
CAPOX	capecitabine and oxaliplatin
CAR	Computer Assisted Radiology
CARDIAC	Coronary Artery Risk Detection In Appalachian Communities
CARE	Chiropractic Acupuncture Rehabilitation Exercise
CARE	Cardiac Awareness Research and Education
CARE	Continuous Ambient Relaxation Environment
