ABCR	A Better Choice For Research
ABCU	A Better Class University
ABD	All But Dissertation
ABDN	The University of Aberdeen
ABE	Adult Basic Education
ABEP	Applied Business Economics Program
ABEP	Aboriginal Business Education Program
ABET	Accreditation Board For Engineering And Technology
ABET	Accreditation Board For Engineering Teaching
ABFI	Alberta Business Family Institute
ABLE	A Better Learning Environment
ABNU	Antionette Bach Nochette University
ABPP	American Board of Professional Psychology
ABPU	Anton Bruckner Private University
ABR	Animal Behavioral Research
ABS	Anything But Smart
ABS	Antilock Brake System
ABS	Absent
ABS	ABStract
ABS	Academy of Biblical Studies
ABS	Association of Bucknell Students
ABS	Applied Behavioral Science
ABSC	Academic Board Standards Committee
ABSD	Applied Behavioural Sciences Department
ABSS	Adelaide Business Students' Society
ABSTR	Abstract
ABSU	All Bodo Students Union
ABSU	Abia State University
ABSUU	ABia State University, Uturu
ABU	Alliance Biblique Universelle
ABU	Atlantic Baptist University
ABU	Ahmadu Bello University
ABU	Ahmadu Bello University, Zaria
ABU	Arlington Baptist University
ABU EN	Asociacion de Bibliotecas Universitarias y Especializados de Nicaragua
ABUP	Association of British University Presses
ABVE	American Board of Vocational Experts
AC	Academic Community
AC	Advanced Credit
ACAC	Academic Computing Advisory Committee
ACAS	Academic Credentials Assessment Service
ACAT	Area Concentration Achievement Test
ACATT	Alabama Center for Advanced Technology and Training
ACBSP	Accreditation Council for Business Schools and Programs
ACBU	Activities Council of Bradley University
ACC	Armstrong County Campus
ACC	Atlantic Creampuff Conference
ACC	Atlantic Coast Conference
ACC	Academic Challenge Competition
ACC	Academic Communications Contact
ACCAD	Advanced Computing Center For Art And Design
ACCC	Arthur Capper Cooperative Center
ACCE	Accreditation Council for Cooperative Education
ACCI	Albert Campbell Collegiate Institute
ACCME	Accreditation Council for Continuing Medical Education
ACCS	Accumulation Of Credits And Certification Of Subjects
ACCS	American Center For Chinese Studies
ACCS	Association for Chinese Communication Studies
ACCS	Academic Counseling and Career Services
ACCS	ARC Centre for Complex Systems, University of Queensland
ACCS	Amsterdam Centre for Computational Science
ACCU	Association of Catholic Colleges and Universities
ACCUTE	Association of Canadian College and University Teachers of English
ACD	Atmospheric Chemistry Division
ACD	Active Center Differential
ACDC	Academic Chairs and Directors Council
ACDP	Association of Chairs of Departments of Physiology
ACDS	African Centre for Disaster Studies
ACDS	Australian Council of Deans of Science
ACDT	Academic Computing Development Team
ACE	Academic Competition of Excellence
ACE	Academic Core Enrichment
ACE	Achievement Centred Environment
ACE	Academic Center For Excellence
ACE	Academic Community For Enrichment
ACE	Academic And Career Excellence
ACE	Academic Career Excellence
ACE	Association of Collegiate Entrepreneurs
ACE	Altruistic Campus Experience
ACE	Automotive Centre of Excellence
ACE	Academic Character Excellence
ACE	Advanced Compatibility Engineering
ACE	Accent and Conversational English
ACERT	Alrazi Centre for Educational Research Training
ACES	Agricultural Consumer And Environmental Sciences
ACES	Australian Chinese Evangelical Students
ACES	Apec Cooperation For Earthquake Simulation
ACES	Academic Challenges Enriching Students
ACES	Alcohol Chemical Educational Series
ACES	Atlantic Council of Engineering Students
ACES	Applied Computational And Engineering Sciences
ACES	Academic and Cultural Events Series
ACEU	Alliance of Central-Eastern European Universities
ACF	Academic Competition Federation
ACF	Academic Competition Foundation
ACFD	Association of Canadian Faculties of Dentistry
ACFG	Aventis Center for Functional Genomics
ACFI	ACcounting and FInance courses
ACFR	Australian Centre for Field Robotics, University of Sydney
ACFS	Advisory Council of Faculty Senates
ACFS	American Collegiate Financial Services
ACFS	Arizona Center for Fertility Studies
ACFY	After the Current Fiscal Year
ACG	Association of Chinese Graduates
ACGM	Academic Course Guide Manual
ACGM	A Course Guide Manual
ACGME	Accreditation Council For Graduate Medical Education
ACI	Automation and Control Institute
ACI	Applied Computational Intelligence
ACIAR	Australian Centre for International Agricultural Research
ACIC	Academic Career Information Center
ACICU	Accrediting Commission of International Colleges and Universities
ACICU	Accrediting Commission of International College and Universities
ACIP	Academic Council for International Programs
ACIRRT	Australian Centre for Industrial Relations Research and Training
ACIS	American Council for International Studies
ACIS	Academic Contributor Information System
ACIS	Alliance for Creative Inevitable Solutions
ACLP	American Culture And Language Program
ACME	Academic Credit for Military Experience
ACME	American Company Makes Everything
ACME	Academy of Criminology, Mathematics, and Education
ACME	Advisory Committee for Mathematics Education
ACMI	Arts and Creative Materials Institute
ACMI	Australian Centre for the Moving Image
ACMRR	Australian Centre for Minesite Rehabilitation Research
ACMRS	Arizona Center for Medieval and Renaissance Studies
ACMS	American Center for Mongolian Studies
ACMS	American College of Mohs Surgery
ACNS	Academic Computing Networking Services
ACO	Australian Calculator Operation
ACOSA	Aquinas Council of Student Activities
ACP	Additional Computational Practice
ACP	Applied Communication Program
ACPC	Austrian Center for Parallel Computation
ACPC	Academic Computing Policy Committee
ACPC	Association Canadienne des Professeurs de Comptabilit
ACPC	Alberta Collegiate Programming Contest
ACPRC	Age and Cognitive Performance Research Centre
ACQ	Academic Call To Quarters
ACRC	Alaskan Climate Research Center
ACRC	Asthma Clinical Research Center
ACRE	Audio Composition Research Environment
ACRE	Arch Centre For Renewable Energy
ACRH	Academic Complex Recital Hall
ACRI	Advanced Computer Research Institute
ACRI	Australian Cotton Research Institute
ACRI	Advanced Computing Research Institute
ACRK	ACademic RanK
ACRL	Advanced Computational Research Library
ACRN	All Campus Radio Network
ACRU	Association of Carpathian Region Universities
ACS	Advanced Competitive Science
ACS	Academic Computing Service
ACS	All Cannot Study
ACS	American Campus Subscriptions
ACSA	American Computer Scientists Association
ACSCU	Association of Christian Schools, Colleges and Universities
ACSE	Advanced Computing for Science Education
ACSES	Alberta Centre for Surface Engineering and Science
ACSL	American Computer Science League
ACSR	Australian Centre for Security Research
ACST	American Cooperative School of Tunis
ACSU	Academic Computing Services Unix
ACSU	Association Of Computer Science Undergraduates
ACSU	American Cancer Society University
ACT	Associates of Campus Theatre
ACT	Academic, Creative, and Technical
ACTE	Advanced Career Transition Education
ACTI	Advanced Computational Technology Initiative
ACTI	Association of Caribbean Tertiary Institutions
ACTS	Asian Christian Theological Studies
ACTS	Association of Chicago Theological Schools
ACTS	African Centre for Technology Studies
ACTT	Academic Contributors for Today and Tomorrow
ACTT	Advanced Center for Technology Training
ACU	Abilene Christian University
ACU	Association of Commonwealth Universities
ACU	Ajayi Crowther University, Ibadan
ACU	Arizona Christian University
ACU	African Christian University
ACUA	Association of College and University Auditors
ACUA	Association of College University Auditors
ACUC	Association of College and University Clubs
ACUCA	Association of Christian Universities and Colleges in Asia
ACUDS	Atlantic Common University Data Set
ACUE	Association of College and University Educators
ACUM	Advising Council at the University of Michigan
ACUP	Animal Care and Use Program
ACUP	Association of Canadian University Presses
ACUP	Association of College and University Printers
ACUP	Association of College University Printers
ACUP	Advisory Committee on University Planning
ACUP	Association of Catholic Universities of the Philippines
ACUV	Asociacion Creacion Universitaria Videojuegos
ACW	Advanced Cosmetology Workshop
ACWR	ACademic WRiting
ADA	Automated Degree Audit
ADA	Athletes Demand Action
ADA	American Dairy Association
ADA	A Dumb Answer
ADAM	Advanced Design And Modeling
ADAM	Academic Date Analysis and Management
ADAPT	Academic Development And Professional Training
ADAR	Art Design Admissions Registry
ADAS	Alcohol and Drug Abuse Studies
ADCS	Academic Data Collection System
ADDU	Ateneo de Davao University
ADE	Association of Departments of English
ADE	Advanced Distance Education
ADEC	Association Des Etudiants de Chimie
ADFE	Accounting Department Faculty of Economics
ADGB	Atmospheric Dynamics Group Bologna (University of Bologna; Italy)
ADIDAS	All Day I Dream All Sports
ADIR	Advanced Digital Imaging Research
ADIS	Associateship in Documentation and Information Science
ADISRF	Associateship in Documentation and Information Science Research Fellowship
ADL	Activity of Daily Living
ADM	ADMissions
ADMI	Advanced Design and Manufacturing Institute
ADMS	Advanced Diploma in Management Studies
ADMU	Ateneo De Manila University
ADNU	Ateneo De Naga University
ADOS	Assistant Director Of Studies
ADR	Advanced Device Research
ADRP	African Diaspora Research Project
ADS	Academic Distribution Services
ADSI	Analogue Display Services Interface
ADSU	Adamawa State University Mubi
ADTI	Art and Drama Therapy Institute
ADTP	Assistant Directors Training Program
ADTP	Australian Digital Theses Program
ADU	American Digital University
ADUC	Adron Doran University Center
ADUC	Al Dar University College
ADVS	Animal Dairy and Veterinary Sciences
ADZU	Ateneo de Zamboanga University
AE	Agricultural Engineering
AE	Academic Enrichment
AE	American English
AEA	Akhbar El-Youm Academy
AEARU	Association of East Asian Research Universities
AEAS	Australian Education Assessment Services
AEAS	Aussie Education Assessment Services
AEBS	Angers European Business Semester
AECE	Advances in Electrical and Computer Engineering
AECEI	Association of Educational Civil Engineering Institutions
AECI	American English and Culture Institute
AECT	Academic Excellence Challenge Team
AECT	Advancement of Electonic Commerce Technology
AED	Automotive Engineering and Design
AEDD	Accreditation and Eligibility Determination Division
AEELS	Association of English Education and Literature Students
AEI	Alternative Energy Institute
AEI	Albert Einstein Institute (Potsdam)
AEIOU	Applied EPI Information for Occupational Use
AEIS	Academic English for International Students
AEMS	Accounting, Economics, and Management Science
AEMS	Adarsh English Medium School
AEP	Academics Enrichment Program
AEPS	Assessment, Evaluation, and Programming System
AEPU	Association des Enseignants de Psychologie Universitaires
AERC	Applied Environmental Research Centre
AERC	Agricultural Ergonomics Research Center
AERC	Aviation Education Resource Center
AERC	Asian Educational Resource Center
AERC	Applied Economics Research Centre
AERC	Applied Electrostatics Research Centre
AERC	Amazon Ecological Research Center
AERL	Advanced Engineering Research Laboratory
AERL	Applied Environmental Research Laboratory
AERL	Athens Environmental Research Laboratory, Athens, Georgia
AERL	Australian Energy Research Laboratories
AERL	Aquatic Ecosystems Research Laboratory
AERL	Applied Energy Research Laboratory
AERP	Arts Education Research Project
AES	Association for Exchange Students
AES	Agricultural Experiment Station
AES	Assigned Educational Supervisor
AESA	Aviation Electronic Schools of America
AESA	American Educational Studies Association
AESL	Aakash Educational Services Limited
AESOP	Annual Entering Student Outdoor Program
AESOP	Applied Ethnographic Studies Of Practice
AET	Academic Enhancement Team
AETG	Association des Etudiants Turcs de Grenoble
AEU	Asia Euro University
AEU	Asia e University
AEU	Asia electronic University
AEU	America Evangelical University
AEUB	Academic Enrichment Upward Bound
AF	Akademi Fantasia
AFA	Adjunct Faculty Association
AFAP	Advanced Filipino Abroad Program
AFAP	Adjunct Faculty Advancement Program
AFAR	Alliance For Aerobiology Research
AFAR	Association For Asian Research
AFC	Auburn Fan Club
AFC	Application Foundation Classes
AFCU	Association of Franciscan Colleges and Universities
AFEU	Air Force Engineering University
AFFS	Agency for Food and Fibre Sciences
AFG	Accreditation For Growth
AFIC	Arabic For Interactive Communication
AFIP	Armed Forces Institute Of Pathology
AFIS	Alternative Fuels Information Station
AFIU	Armed Forces Institute of Urology
AFLS	Afternoon Facilitated Learning Session
AFOC	Athletic Fiscal Oversight Committee
AFPC	Administrative Faculty Personnel Committee
AFPF	Alfred Friendly Press Fellowship
AFP^3	Adminstrative Faculty Personnel Policies and Procedures
AFRC	Albion Fisheries Research Centre
AFRE	Agriculture, Food, and Resource Economics
AFRE	Academic Freedom Responsibility and Environment
AFROTC	Air Force Reserve Officer Training Corps
AFS	American Field Study
AFSA	Agricultural Food Sciences Academy
AFSAM	Air Force School of Aerospace Medicine
AFSE	Academy For Software Engineering
AFTA	American Family Therapy Academy
AFTAU	American Friends of Tel Aviv University
AFTAU	Australian Friends of Tel Aviv University
AFTC	Alternative Fuel Technology Center
AFU	Al Falah University
AFU	Age Friendly University
AG	Applied Geomechanics
AG	Abstract Geometry
AGEP	Alliances for Graduate Education in the Professoriate
AGH	Akademia Górniczo-Hutnicza (Polish; University of Science and Technology Cracow, Poland)
AGIS	Angels Garden International School
AGS	Algebra, Geometry, And Statistics
AGS	American Government Simulation
AGS	Academy for Global Studies
AGSEM	Association of Graduate Students Employed at McGill
AGTS	Assemblies of God Theological Seminary
AGU	Anything Goes University
AGU	Arabian Gulf University
AGU	Association of Global Universities
AGU	Aoyama Gakuin University
AGU	American Graduate University
AH	American History
AHC(S)	Academic Health Center(S)
AHHS	Allied Health and Health Sciences
AHRQ	Agency for Healthcare Research and Quality
AHSA	African Heritage Studies Association
AHSA	American Humanics Student Association
AI	Associate Instructor
AI	Absolutely Incomplete
AI	Anti-Intellectual
AI	African Institute
AI	Aakash Institute
AIAS	Australian Institute of Alpine Studies
AIAS	American Institute of Architecture Students
AIAS	American Institute of Afghanistan Studies
AIAS	Academy of Interactive Arts Sciences
AIAS	Academy of Interactive Arts and Sciences
AIATS	All India Aakash Test Series
AIBN	Australian Institute for Bioengineering and Nanotechnology
AIBT	American Institute of Biofeedback Technology
AIBT	Australasia Institute of Business Technology
AIBT	Athens Institute of Business Technology
AIBTECH	Akram Institute of Business & Technology
AIBU	Abant Izzet Baysal University
AIC	Academic Integrity Council
AICTE	All India Council of Technical Education
AICU	Association of Independent Colleges Universities
AICU	Arkansas Independent Colleges and Universities
AICUF	All India Catholic University Federation
AIDA	Applications of Integrated Driver Assistance
AIDC	Advanced Internet Design Concepts
AIDU	Associazione Italiana Docenti Universitari
AIE	Arts in Education
AIEEE	All India Engineering Entrance Examination
AIESEC	Association Internationale des Etudiants en Sciences Economiques et Commerciales
AII	American Institute of Immunology
AII	Australia Indonesia Institute
AIIMS	All India Institute of Medical Science
AIIMS	All India Institute of Medical Sciences
AIIS	American Institute of Indian Studies
AIIS	Albanian Institute for International Studies
AIM	Academic Improvement Methods
AIM	Accessible Induction Model
AIM	Agriculture Instructional Media
AIM	ARH Integrated Media
AIME	Alabama Institute for Manufacturing Excellence
AIMS	Academic Information Management System
AIMS	Alternate Instruction Management System
AIMS	Activities Integrating Mathematics and Science
AIMS	Aspirations In Medical Services
AIN	Admission Index Number
AINA	Arctic Institute of North America
AINS	Austrian Institute for Nonlinear Studies
AINSEE	Academic Information Network of South East Europe
AIOU	Allama Iqbal Open University
AIOU	Alama Iqbal Open University
AIOU	Asia International Open University
AIP	Artificial Intelligence Project
AIPD	Army Institute for Professional Development
AIPET	Almaty Institute of Power Engineering and Telecommunications
AIPMT	All-India Pre-Medical Test
AIRA	Aircraft Icing Research Alliance
AIRG	Artificial Intelligence Research Group
AIRO	American Indian Research Opportunities
AIS	Adventures In Supercomputing
AIS	Academic Intervention Services
AIS	Academic Information System
AIS	Academy of International Studies
AISC	American Indian Studies Center
AISC	American International School in Cyprus
AISES	American Indian Science and Engineering Society
AISG	Association of Illinois Student Governments
AISJ	Association of Iranian Students in Japan
AISJ	American International School of Johannesburg
AISS	American Indian Services Scholarship
AISS	Academy for Integrated Systems Solutions
AIT	Advanced Institutional Training
AIT	Asian Institute of Technology
AIT	Aichi Institute of Technology
AIT	Adichunchanagiri Institute of Technology
AIT	Adithya Institute of Technology
AITC	Advanced Information Technology Center
AITD	Australian Institute for Training and Development
AITR	Artificial Intelligence Laboratory Technical Report
AITR	Academy of Information Technology and Robotics
AITS	Academic And Instructional Technology Support
AITS	Academic Information Technology Services
AITS	Annamacharya Institute of Technology & Sciences, Hyderabad
AITU	Association of Independent Technological Universities
AITU	American International Theology University
AIU	American Intercontinental University
AIU	Association of Indian Universities
AIU	Atlantic International University
AIU	American Intercontinental University's
AIU	Akita International University
AIU	Alliance International University
AIUB	American International University-Bangladesh
AIUM	American Indians at the University of Michigan
AIUNI	Alliance International University
AIY	Amir Ibrahim Younis
AJCU	Association of Jesuit Colleges Universities
AJCU	Association of Jesuit Colleges and Universities
AJU	American Jewish University
AJU	Andrew Jackson University
AJUP	Association of Jesuit University Presses
AK	Atwater-Kent Laboratories
AKA	Alpha Kappa Alpha
AKJM	Archbishop Kavukatt Jubilee Memorial
AKU	Aga Khan University
AKU	Al Kafaat University
AKU	Aryabhatta Knowledge University
AKU	Afyon Kocatepe University
AKUH	Agha Khan University Hospital
AKUH	Aga Khan University Hospitals
AKUH	Aga Khan University Hospital
AL	Associate Lecturer
AL	Active Learning
ALCI	American Language And Culture Institute
ALCI	American Language Culture Institute
ALCU	Association of Local Colleges and Universities
ALE	Advanced Learning Environment
ALE	Applied Learning Experience
ALFA	Architecture Landscape And Fine Arts
ALG	Algebra
ALI	Alternative Language Instruction
ALI	Automotive Lift Institute
ALLH	Allied Health courses
ALM	A Laboratory Mistake
ALP	Accelerated Learning Program
ALP	Athlete Leadership Program
ALPHA	Art, Literature, Philosophy, History, and Archeology
ALS	Apathy And Lazy Science
ALSA	Australian Law Students Association
ALSF	Australian Liberal Students Federation
ALSU	Alliance Laundry Services University
ALT	Achievement Level Tests
ALT	Arts Lecture Theatre
ALU	Army Logistics University
ALU	African Leadership University
ALU	Abraham Lincoln University
AM	Age Major
AM	Applied Mathematics
AMANDA	Advanced Maryland Automatic Network Disk Archiver
AMATEUR	A Method A Taking Everything U Receive
AMC(S)	Academic Medical Center(S)
AME	Agriculture Man Ecology
AMEU	African Methodist Episcopal University
AMI	Applied Mathematics I
AMI	Asian Management Institute
AMI	Allison Mechanical Institute
AMIE	Associate Member of the Institution of Engineers
AMII	Applied Mathematics II
AMS	Association of Malaysian Students
AMS	Academic Monitoring System
AMS	Associated Men Students
AMS	Department of Applied Mathematics and Statistics
AMS	Alma Mater Society
AMS	Academic Management Services
AMSA	American Medical Students Association
AMSA	Applied Math Science Academy
AMSA	Australian Medical Student's Association
AMSA	Asian Medical Students Association
AMSA	American Mens Studies Association
AMSAC	Ancient Mediterranean Studies Advisory Committee
AMSS	Adelaide Medical Students Society
AMST	Academy for Medical Science Technology
AMSU	Amsterdam Maastricht Summer University
AMTL	Applied Monitoring and Transparency Laboratory
AMU	The Adam Mickiewicz University
AMU	Aligarh Muslim University
AMU	Ave Maria University
AMU	Alhambra Medical University
AMU	American Management University
AMUA	Associate in Music, University of Adelaide
AMUJ	Arak Medical University Journal
AMUM	Art Museum of the University of Memphis
ANAG	Academic Network Advisory Group
ANBS	Australian National Business School
ANBS	Asian Network For Biological Sciences
ANCB	Anatomy and Cell Biology Courses
ANCL	Advanced Network Computing Laboratory
ANCV	Ancient Civilization courses
ANEP	Advanced Network Engineer Program
ANNN	Alaska Native Knowledge Network
ANP	Analytical Network Project
ANSA	Association of Norwegian Students Abroad
ANSA	Augustana Nursing Student Association
ANSA	African Nations Student Association
ANU	Australian National University
ANU	Acharya Nagarjuna University
ANUS	Aesthetics National University of Singapore
ANUSA	Australian National University Students' Association
ANWB	Algemene Nederlandse WielrijdersBond
ANZOG	Australian and New Zealand School Of Government
AO	Academic Office
AO	Alpha Omega
AOAU	Academy of Art University
AOC	Areas Of Concentration
AOCE	Academic Outreach and Continuing Education
AOG	Association Of Graduates
AoN	Application of Number (Key Skill)
AOU	American Open University
AOU	Arab Open University
AP	Advance Placement
AP	Admissions Preference
AP	Advanced Placement
AP	Adjunct Processor
APAC	Academic Professional Advisory Committee
APAC	Academic and Performing Arts Complex
APARD	Andhra Pradesh Academy of Rural Development
APAS	Andhra Pradesh Akademi of Sciences
APASS	Academic Pathways to Access and Student Success
APC	Academic Program Coordinator
APC	Academic Progress Code
APC	Academic Professionals of California
APC	Activity Program Council
APEP	Advanced Power and Energy Program
APHD	Applied Psychology and Human Development
APHE	Advanced Professional Healthcare Education
APHG	Advanced Placement Human Geography
API	Academic Performance Index
APICS	Advancing Productivity, Innovation, and Competitive Success
APIE	Academic and Professional International Evaluation
APIIT	Asia Pacific Institute Of Information Technology
APIU	American Pacwest International University
APIU	Asia Pacific International University
APIU	Aboriginal Peoples International University
APIU	Asia-Pacific International University
APL	Accreditation of Prior Learning
APLC	Advanced Placement Literature & Composition
APLF	Accelerated Pavement Load Facility (Ohio University)
APM	Art Project Management
APM	Applied Process Material
APMSO	All Pakistan Muhajir Students Organization
APN	Academic Position Network
APNA	Academy of the Punjab In North America
APO	Advising Programs Office
APOP	Associate Provost for Outreach Programs
APP	Accelerated Progress Program
APP	Advanced Placement Program
APP	Academic Purchase Program
APPL	Applied
APPM	Advanced Professional Program in Management
APPSM	Advanced Professional Program in Systems Management
APR	Academic Progress Rate
APRN	Advance Practice Registered Nurse
APRU	Association of Pacific Rim Universities
APRU	Academic Programme Review Unit
APS	Academic Program Summary
APS	Applied Problem Solving
APS	Admission Point Score
APSI	Asian/Pacific Studies Institute
APSU	Austin Peay State University
APT	Applied Petroleum Technology
APT	Academic Program for Talented students
APTA	Applied Petroleum Technology Academy
APTC	Akron Polymer Training Center
APTC	Applied Practicum Training Course
APTG	Application and Program Transfer Guidebook
APTH	Applied Theater courses
APTP	Academic Placement Testing Program
APTS	Asia Pacific Theological Seminary
APU	Asia Pacific University
APU	American Public University
APU	Azusa Pacific University
APUA	Anthropological Papers of the University of Alaska
APUC	Advanced Procurement for Universities and Colleges
APUS	American Public University System
APUSH	Advanced Placement in United States History
AQA	Assessment and Qualifications Alliance
AQU	Al Quds University
AQUA	Asking Questions And Understanding Answers
Ar	Architecture
ARAD	Applied Research and Analysis Directorate (Canada)
ARC	Academic Resource Center
ARC	Accreditation and Registration Council
ARC	Allison Road Classroom
ARC	Academic Resource Connection
ARC	Academic Regulations Committee
ARC	Area Research Center
ARC	Archaeological Resource Centre
ARC	Australian Research Council
ARCS	Advanced Research Computing System
ARCT	African Regional Centre For Technology
ARD	Admission, Review, and Dismissal
ARD	Admission Review or Dismissal
ARES	Applied Research and Evaluation Services
ARF	Addiction Research Foundation
ARF	Almost Ready To Finish
ARGH	Another Redundant Glossary Handout
ARGOS	Agriculture Research Group On Sustainability
ARI	Automatic Room Identification
ARI	Asia Research Institute
ARIS	Advanced Robotics And Intelligent Systems
ARK	Applied Research Knowledge
ARM	Academic Resource Mentor
ARM	Anti-radiation missile
ARO	Academic Research Online
ARO	Academic Research Organization
ARO	Admissions and Records Office
AROTC	Army Reserve Officer Training Corps
ARP	Advanced Regents Program
ARPA	Advanced Research Projects Agency
ARPS	Aerospace Research Pilot School
ARRC	Advanced Railway Research Centre
ARRT	Advanced Rehabilitation Research Training
ARS	Academic Resource System
ART	Academy of Realistic Taxidermy
ART	Assisted Reproductive Technology
ARTC	Alastair Ross Technology Centre
ARTEP	American Russian Traineeship Exchange Program
ARTS	Academic Requirement Tracking System
ARU	Anglia Ruskin University
ARU	African Rural University
ARWU	Academic Ranking of World Universities
AS	Associated Students
AS	Analytical Studies
ASA	Arizona Students Association
ASA	Art Scholarship Achievement
ASA	African Students Association
ASA	Adventist Students Association
ASA	Asian Students Association
ASA	Aboriginal Students Association
ASA	Albany Students Association
ASAA	Asian Studies Association of Australia
ASAC	Administrative Sciences Association of Canada
ASAP	Absent Student Assistance Program
ASAP	Alabama Student Assistance Plan
ASAP	Accelerated Scholars And Professionals
ASAP	Accelerated Semester Action Plan
ASAP	American Students to Activate Pride
